track3_locom_runner source=records/track_3_optimization/train_gpt_simple.py generated=/root/prime_track3_logs/track3_simple_locom_prime_a_target328_seed200_train_gpt_simple_locom.py steps=3350 trials=1 nproc=1 mbs=16 pass_trial_arg=1
logs/65a84a7e-a834-43ef-9638-ea11d9cec5ce.txt
track3_trial_seed=200 trial=0
locoprop_m_owner rank=0 world=1 owned_layers=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11] sample_tokens=1024 gather_samples=True accum_samples=False micro_sample_tokens=32
step:0/3350 val_loss:10.82579 train_time:0.000s step_avg:nanms
locoprop_m_prepare step=0 l0:loss0=1.420e-06,lossK=1.039e-01,corr_norm=1.487e+01,grad_norm=0.000e+00,cos_desc=0.000,tokens=1024 | l1:loss0=1.431e-06,lossK=4.969e-01,corr_norm=3.186e+01,grad_norm=0.000e+00,cos_desc=0.000,tokens=1024 | l2:loss0=1.447e-06,lossK=1.752e-01,corr_norm=1.862e+01,grad_norm=0.000e+00,cos_desc=0.000,tokens=1024 | l3:loss0=1.421e-06,lossK=1.202e+00,corr_norm=5.293e+01,grad_norm=0.000e+00,cos_desc=0.000,tokens=1024
locoprop_m_apply step=0 shape=(3072, 768):base_step=0.000e+00,corr_norm=1.487e+01,scale=0.000e+00 | shape=(3072, 768):base_step=0.000e+00,corr_norm=3.186e+01,scale=0.000e+00 | shape=(3072, 768):base_step=0.000e+00,corr_norm=1.862e+01,scale=0.000e+00 | shape=(3072, 768):base_step=0.000e+00,corr_norm=5.293e+01,scale=0.000e+00 | shape=(3072, 768):base_step=0.000e+00,corr_norm=1.615e+01,scale=0.000e+00 | shape=(3072, 768):base_step=0.000e+00,corr_norm=1.366e+01,scale=0.000e+00 | shape=(3072, 768):base_step=0.000e+00,corr_norm=1.172e+01,scale=0.000e+00 | shape=(3072, 768):base_step=0.000e+00,corr_norm=9.472e+00,scale=0.000e+00
step:1/3350 train_time:16.596s step_avg:16596.45ms
locoprop_m_prepare step=1 l0:loss0=1.424e-06,lossK=5.800e-02,corr_norm=1.025e+01,grad_norm=0.000e+00,cos_desc=0.000,tokens=1024 | l1:loss0=1.395e-06,lossK=1.335e-01,corr_norm=1.640e+01,grad_norm=0.000e+00,cos_desc=0.000,tokens=1024 | l2:loss0=1.435e-06,lossK=7.562e-02,corr_norm=1.151e+01,grad_norm=0.000e+00,cos_desc=0.000,tokens=1024 | l3:loss0=1.408e-06,lossK=5.386e-02,corr_norm=1.023e+01,grad_norm=0.000e+00,cos_desc=0.000,tokens=1024
locoprop_m_apply step=1 shape=(3072, 768):base_step=0.000e+00,corr_norm=1.025e+01,scale=0.000e+00 | shape=(3072, 768):base_step=0.000e+00,corr_norm=1.640e+01,scale=0.000e+00 | shape=(3072, 768):base_step=0.000e+00,corr_norm=1.151e+01,scale=0.000e+00 | shape=(3072, 768):base_step=0.000e+00,corr_norm=1.023e+01,scale=0.000e+00 | shape=(3072, 768):base_step=0.000e+00,corr_norm=1.309e+01,scale=0.000e+00 | shape=(3072, 768):base_step=0.000e+00,corr_norm=1.002e+01,scale=0.000e+00 | shape=(3072, 768):base_step=0.000e+00,corr_norm=1.422e+01,scale=0.000e+00 | shape=(3072, 768):base_step=0.000e+00,corr_norm=9.760e+00,scale=0.000e+00
step:2/3350 train_time:23.388s step_avg:11693.85ms
locoprop_m_prepare step=2 l0:loss0=1.429e-06,lossK=6.196e-02,corr_norm=1.177e+01,grad_norm=2.655e+03,cos_desc=-0.076,tokens=1024 | l1:loss0=1.416e-06,lossK=1.263e-01,corr_norm=1.714e+01,grad_norm=2.869e+03,cos_desc=-0.042,tokens=1024 | l2:loss0=1.420e-06,lossK=2.707e-01,corr_norm=3.239e+01,grad_norm=3.089e+03,cos_desc=-0.108,tokens=1024 | l3:loss0=1.406e-06,lossK=3.503e+00,corr_norm=1.361e+02,grad_norm=3.335e+03,cos_desc=-0.024,tokens=1024
locoprop_m_apply step=2 shape=(3072, 768):base_step=1.939e+00,corr_norm=1.177e+01,scale=3.297e-02 | shape=(3072, 768):base_step=1.940e+00,corr_norm=1.714e+01,scale=2.263e-02 | shape=(3072, 768):base_step=1.939e+00,corr_norm=3.239e+01,scale=1.197e-02 | shape=(3072, 768):base_step=1.938e+00,corr_norm=1.361e+02,scale=2.849e-03 | shape=(3072, 768):base_step=1.941e+00,corr_norm=9.471e+01,scale=4.100e-03 | shape=(3072, 768):base_step=1.940e+00,corr_norm=1.548e+02,scale=2.507e-03 | shape=(3072, 768):base_step=1.943e+00,corr_norm=4.119e+02,scale=9.432e-04 | shape=(3072, 768):base_step=1.941e+00,corr_norm=7.744e+02,scale=5.014e-04
step:3/3350 train_time:30.228s step_avg:10076.01ms
step:4/3350 train_time:37.067s step_avg:9266.70ms
step:5/3350 train_time:43.917s step_avg:8783.31ms
step:6/3350 train_time:50.767s step_avg:8461.15ms
step:7/3350 train_time:57.621s step_avg:8231.55ms
step:8/3350 train_time:64.471s step_avg:8058.89ms
step:9/3350 train_time:71.330s step_avg:7925.57ms
step:10/3350 train_time:78.185s step_avg:7818.55ms
locoprop_m_prepare step=10 l0:loss0=4.446e-06,lossK=1.808e+03,corr_norm=2.661e+03,grad_norm=1.723e+04,cos_desc=-0.004,tokens=1024 | l1:loss0=3.646e-06,lossK=6.539e+02,corr_norm=1.382e+03,grad_norm=1.511e+04,cos_desc=0.064,tokens=1024 | l2:loss0=3.587e-06,lossK=5.513e+02,corr_norm=1.738e+03,grad_norm=1.513e+04,cos_desc=0.187,tokens=1024 | l3:loss0=3.157e-06,lossK=3.125e+02,corr_norm=1.433e+03,grad_norm=1.324e+04,cos_desc=0.178,tokens=1024
locoprop_m_apply step=10 shape=(3072, 768):base_step=1.941e+00,corr_norm=2.661e+03,scale=1.459e-04 | shape=(3072, 768):base_step=1.940e+00,corr_norm=1.382e+03,scale=2.808e-04 | shape=(3072, 768):base_step=1.942e+00,corr_norm=1.738e+03,scale=2.235e-04 | shape=(3072, 768):base_step=1.939e+00,corr_norm=1.433e+03,scale=2.707e-04 | shape=(3072, 768):base_step=1.937e+00,corr_norm=7.090e+03,scale=5.464e-05 | shape=(3072, 768):base_step=1.935e+00,corr_norm=2.513e+03,scale=1.540e-04 | shape=(3072, 768):base_step=1.925e+00,corr_norm=3.970e+03,scale=9.695e-05 | shape=(3072, 768):base_step=1.917e+00,corr_norm=2.130e+03,scale=1.800e-04
step:11/3350 train_time:85.045s step_avg:7731.39ms
step:12/3350 train_time:91.894s step_avg:7657.80ms
step:13/3350 train_time:98.756s step_avg:7596.63ms
step:14/3350 train_time:105.609s step_avg:7543.50ms
step:15/3350 train_time:112.464s step_avg:7497.59ms
step:16/3350 train_time:119.319s step_avg:7457.43ms
step:17/3350 train_time:126.176s step_avg:7422.10ms
step:18/3350 train_time:133.031s step_avg:7390.63ms
step:19/3350 train_time:139.886s step_avg:7362.41ms
step:20/3350 train_time:146.750s step_avg:7337.48ms
step:21/3350 train_time:153.601s step_avg:7314.36ms
step:22/3350 train_time:160.451s step_avg:7293.22ms
step:23/3350 train_time:167.301s step_avg:7273.95ms
step:24/3350 train_time:174.151s step_avg:7256.31ms
step:25/3350 train_time:180.998s step_avg:7239.92ms
step:26/3350 train_time:187.843s step_avg:7224.71ms
step:27/3350 train_time:194.692s step_avg:7210.80ms
step:28/3350 train_time:201.537s step_avg:7197.75ms
step:29/3350 train_time:208.378s step_avg:7185.45ms
step:30/3350 train_time:215.228s step_avg:7174.28ms
step:31/3350 train_time:222.076s step_avg:7163.73ms
step:32/3350 train_time:228.919s step_avg:7153.73ms
step:33/3350 train_time:235.768s step_avg:7144.49ms
step:34/3350 train_time:242.612s step_avg:7135.65ms
step:35/3350 train_time:249.459s step_avg:7127.39ms
step:36/3350 train_time:256.305s step_avg:7119.58ms
step:37/3350 train_time:263.148s step_avg:7112.10ms
step:38/3350 train_time:270.001s step_avg:7105.30ms
step:39/3350 train_time:276.845s step_avg:7098.60ms
step:40/3350 train_time:283.687s step_avg:7092.19ms
step:41/3350 train_time:290.531s step_avg:7086.12ms
step:42/3350 train_time:297.374s step_avg:7080.34ms
step:43/3350 train_time:304.217s step_avg:7074.82ms
step:44/3350 train_time:311.077s step_avg:7069.93ms
step:45/3350 train_time:317.917s step_avg:7064.82ms
step:46/3350 train_time:324.757s step_avg:7059.93ms
step:47/3350 train_time:331.608s step_avg:7055.49ms
step:48/3350 train_time:338.446s step_avg:7050.96ms
step:49/3350 train_time:345.288s step_avg:7046.70ms
step:50/3350 train_time:352.139s step_avg:7042.77ms
locoprop_m_prepare step=50 l0:loss0=2.881e-05,lossK=1.357e+00,corr_norm=4.747e+01,grad_norm=2.824e+04,cos_desc=-0.070,tokens=1024 | l1:loss0=1.230e-05,lossK=6.029e-01,corr_norm=4.935e+01,grad_norm=1.535e+04,cos_desc=-0.009,tokens=1024 | l2:loss0=7.967e-06,lossK=1.342e-01,corr_norm=1.666e+01,grad_norm=1.100e+04,cos_desc=0.028,tokens=1024 | l3:loss0=5.476e-06,lossK=1.222e-01,corr_norm=2.096e+01,grad_norm=8.292e+03,cos_desc=0.136,tokens=1024
